Data/Hora,Item,Pedra,Refino Antes,Refino Depois,Resultado
2025-08-07 04:08:49,Anel,PDI,6,0,Falha
2025-08-07 04:08:49,Anel,PDI,5,0,Falha
2025-08-07 04:08:49,Anel,PDI,5,0,Falha
2025-08-07 04:08:49,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:49,Anel,PDI,6,0,Falha
2025-08-07 04:08:50,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:50,Anel,PDI,6,7,Sucesso
2025-08-07 04:08:50,Anel,PDI,7,0,Falha
2025-08-07 04:08:50,Anel,PDI,5,0,Falha
2025-08-07 04:08:50,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:50,Anel,PDI,6,0,Falha
2025-08-07 04:08:50,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:50,Anel,PDI,6,0,Falha
2025-08-07 04:08:50,Anel,PDI,5,0,Falha
2025-08-07 04:08:50,Anel,PDI,5,0,Falha
2025-08-07 04:08:51,Anel,PDI,5,0,Falha
2025-08-07 04:08:51,Anel,PDI,5,0,Falha
2025-08-07 04:08:51,Anel,PDI,5,0,Falha
2025-08-07 04:08:51,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:51,Anel,PDI,6,0,Falha
2025-08-07 04:08:51,Anel,PDI,5,0,Falha
2025-08-07 04:08:51,Anel,PDI,5,0,Falha
2025-08-07 04:08:51,Anel,PDI,5,0,Falha
2025-08-07 04:08:51,Anel,PDI,5,0,Falha
2025-08-07 04:08:51,Anel,PDI,5,0,Falha
2025-08-07 04:08:51,Anel,PDI,5,0,Falha
2025-08-07 04:08:52,Anel,PDI,5,0,Falha
2025-08-07 04:08:52,Anel,PDI,5,0,Falha
2025-08-07 04:08:52,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:52,Anel,PDI,6,0,Falha
2025-08-07 04:08:52,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:52,Anel,PDI,6,0,Falha
2025-08-07 04:08:52,Anel,PDI,5,0,Falha
2025-08-07 04:08:52,Anel,PDI,5,0,Falha
2025-08-07 04:08:52,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:52,Anel,PDI,6,0,Falha
2025-08-07 04:08:53,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:53,Anel,PDI,6,7,Sucesso
2025-08-07 04:08:53,Anel,PDI,7,0,Falha
2025-08-07 04:08:53,Anel,PDI,5,0,Falha
2025-08-07 04:08:53,Anel,PDI,5,0,Falha
2025-08-07 04:08:53,Anel,PDI,5,0,Falha
2025-08-07 04:08:53,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:53,Anel,PDI,6,0,Falha
2025-08-07 04:08:53,Anel,PDI,5,0,Falha
2025-08-07 04:08:53,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:54,Anel,PDI,6,0,Falha
2025-08-07 04:08:54,Anel,PDI,5,0,Falha
2025-08-07 04:08:54,Anel,PDI,5,0,Falha
2025-08-07 04:08:54,Anel,PDI,5,0,Falha
2025-08-07 04:08:54,Anel,PDI,5,0,Falha
2025-08-07 04:08:54,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:54,Anel,PDI,6,0,Falha
2025-08-07 04:08:54,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:54,Anel,PDI,6,0,Falha
2025-08-07 04:08:54,Anel,PDI,5,0,Falha
2025-08-07 04:08:54,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:55,Anel,PDI,6,7,Sucesso
2025-08-07 04:08:55,Anel,PDI,7,0,Falha
2025-08-07 04:08:55,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:55,Anel,PDI,6,0,Falha
2025-08-07 04:08:55,Anel,PDI,5,0,Falha
2025-08-07 04:08:55,Anel,PDI,5,0,Falha
2025-08-07 04:08:55,Anel,PDI,5,0,Falha
2025-08-07 04:08:55,Anel,PDI,5,0,Falha
2025-08-07 04:08:55,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:55,Anel,PDI,6,0,Falha
2025-08-07 04:08:56,Anel,PDI,5,0,Falha
2025-08-07 04:08:56,Anel,PDI,5,6,Sucesso
